method,path,file,line,handler,module,guards,public,roles,kind,svcCall,hasFrontendCaller
GET,/api/hr/recruitment/pipeline/:id/probation-journal,modules/hr/recruitment/hr-vacancies-probation.controller.ts,53,getProbationJournal,hr,"",false,,svc,svc.findProbationJournal,true
GET,/api/hr/recruitment/pipeline/:id/probation-dates,modules/hr/recruitment/hr-vacancies-probation.controller.ts,63,getProbationDates,hr,"",false,,svc,svc.findProbationDates,true
POST,/api/hr/recruitment/pipeline/:id/probation-review,modules/hr/recruitment/hr-vacancies-probation.controller.ts,74,submitProbationReview,hr,"",false,,svc,svc.recordFunnelHistory,true
PATCH,/api/hr/recruitment/pipeline/:id/probation-dates,modules/hr/recruitment/hr-vacancies-probation.controller.ts,91,patchProbationDates,hr,"",false,,real?,,true
POST,/api/hr/recruitment/pipeline/:id/probation-journal,modules/hr/recruitment/hr-vacancies-probation.controller.ts,111,createProbationJournalEntry,hr,"",false,,svc,svc.recordFunnelHistory,true
GET,/api/hr/recruitment/pipeline/:id/probation-review,modules/hr/recruitment/hr-vacancies-probation.controller.ts,126,getProbationReview,hr,"",false,,real?,,true
GET,/api/hr/recruitment/vacancies,modules/hr/recruitment/hr-vacancies.controller.ts,81,getVacancies,hr,"",false,,svc,svc.findAll,true
GET,/api/hr/recruitment/vacancies/:id,modules/hr/recruitment/hr-vacancies.controller.ts,91,getVacancy,hr,"",false,,svc,svc.findById,true
POST,/api/hr/recruitment/vacancies/:id/channel-status,modules/hr/recruitment/hr-vacancies.controller.ts,101,updateChannelStatus,hr,"",false,,svc,svc.recordFunnelHistory,true
POST,/api/hr/recruitment/vacancies/:id/telegram-announce,modules/hr/recruitment/hr-vacancies.controller.ts,117,telegramAnnounce,hr,"",false,,svc,svc.recordFunnelHistory,true
POST,/api/hr/recruitment/vacancies/:id/alumni-notify,modules/hr/recruitment/hr-vacancies.controller.ts,131,alumniNotify,hr,"",false,,svc,svc.recordFunnelHistory,true
GET,/api/hr/recruitment/vacancies/:id/market-analysis,modules/hr/recruitment/hr-vacancies.controller.ts,145,getMarketAnalysis,hr,"",false,,svc,svc.findMarketAnalysisByVacancy,true
GET,/api/hr/recruitment/vacancies/:id/portret,modules/hr/recruitment/hr-vacancies.controller.ts,155,getPortret,hr,"",false,,svc,svc.findById,true
GET,/api/hr/recruitment/vacancies/:id/channels,modules/hr/recruitment/hr-vacancies.controller.ts,165,getVacancyChannels,hr,"",false,,svc,svc.findChannelsByVacancy,true
POST,/api/hr/recruitment/vacancies,modules/hr/recruitment/hr-vacancies.controller.ts,175,createVacancy,hr,"",false,,svc,svc.create,true
POST,/api/hr/recruitment/vacancies/:id/publish,modules/hr/recruitment/hr-vacancies.controller.ts,194,publishVacancy,hr,"",false,,svc,svc.publishVacancy,true
PATCH,/api/hr/recruitment/vacancies/:id/channel-status,modules/hr/recruitment/hr-vacancies.controller.ts,211,patchChannelStatus,hr,"",false,,svc,svc.recordFunnelHistory,true
PATCH,/api/hr/recruitment/vacancies/:id/channels,modules/hr/recruitment/hr-vacancies.controller.ts,228,patchVacancyChannels,hr,"",false,,svc,svc.findMarketAnalysisByVacancy,true
POST,/api/hr/recruitment/vacancies/:id/market-analysis,modules/hr/recruitment/hr-vacancies.controller.ts,245,postMarketAnalysis,hr,"",false,,svc,svc.findMarketAnalysisByVacancy,true
PATCH,/api/hr/recruitment/vacancies/:id/portret,modules/hr/recruitment/hr-vacancies.controller.ts,258,patchPortret,hr,"",false,,real?,,true
POST,/api/hr/recruitment/references-check,modules/hr/recruitment/recruitment-offers.controller.ts,45,createReferencesCheck,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.createReferencesCheck,false
GET,/api/hr/recruitment/references-check/funnel/:funnelId,modules/hr/recruitment/recruitment-offers.controller.ts,57,getReferencesChecksByFunnel,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.getReferencesChecksByFunnel,false
PATCH,/api/hr/recruitment/references-check/:id,modules/hr/recruitment/recruitment-offers.controller.ts,65,updateReferencesCheck,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.updateReferencesCheck,false
POST,/api/hr/recruitment/job-offer,modules/hr/recruitment/recruitment-offers.controller.ts,78,createJobOffer,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.createJobOffer,false
GET,/api/hr/recruitment/job-offer/candidate/:candidateId,modules/hr/recruitment/recruitment-offers.controller.ts,90,getJobOffersByCandidate,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.getJobOffersByCandidate,false
GET,/api/hr/recruitment/job-offer/:id,modules/hr/recruitment/recruitment-offers.controller.ts,98,getJobOfferById,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.getJobOfferById,false
PATCH,/api/hr/recruitment/job-offer/:id/status,modules/hr/recruitment/recruitment-offers.controller.ts,106,updateJobOfferStatus,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.updateJobOfferStatus,false
GET,/api/hr/recruitment,modules/hr/recruitment/recruitment.controller.ts,57,getRecruitmentList,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter','SUPER_ADMIN','DIRECTOR',svc,recruitmentService.listFunnels,true
POST,/api/hr/recruitment/funnel,modules/hr/recruitment/recruitment.controller.ts,68,createFunnel,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.createFunnel,false
GET,/api/hr/recruitment/funnel,modules/hr/recruitment/recruitment.controller.ts,77,listFunnels,hr,"",false,,svc,recruitmentService.listFunnels,false
GET,/api/hr/recruitment/funnel/kanban,modules/hr/recruitment/recruitment.controller.ts,84,kanban,hr,"",false,,svc,recruitmentService.getFunnelKanban,false
GET,/api/hr/recruitment/funnel/:id,modules/hr/recruitment/recruitment.controller.ts,91,getFunnel,hr,"",false,,svc,recruitmentService.getFunnelById,false
PATCH,/api/hr/recruitment/funnel/:id/move,modules/hr/recruitment/recruitment.controller.ts,97,moveFunnelStage,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.moveFunnelStage,false
PATCH,/api/hr/recruitment/funnel/:id/screening,modules/hr/recruitment/recruitment.controller.ts,110,quickScreening,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.quickScreening,false
POST,/api/hr/recruitment/tool-test,modules/hr/recruitment/recruitment.controller.ts,124,createToolTest,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.createToolTest,true
GET,/api/hr/recruitment/tool-test/candidate/:candidateId,modules/hr/recruitment/recruitment.controller.ts,133,getToolTestByCandidate,hr,"",false,,svc,recruitmentService.getToolTestByCandidate,true
POST,/api/hr/recruitment/tool-test/match,modules/hr/recruitment/recruitment.controller.ts,139,matchPositionProfile,hr,"",false,,svc,recruitmentService.matchPositionProfile,false
POST,/api/hr/recruitment/productivity-interview,modules/hr/recruitment/recruitment.controller.ts,148,createProductivityInterview,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.createProductivityInterview,true
GET,/api/hr/recruitment/productivity-interview/candidate/:candidateId,modules/hr/recruitment/recruitment.controller.ts,160,getProductivityInterview,hr,"",false,,svc,recruitmentService.getProductivityInterview,true
GET,/api/hr/recruitment/channel-analytics,modules/hr/recruitment/recruitment.controller.ts,168,getChannelAnalytics,hr,"",false,,svc,recruitmentService.getChannelAnalytics,true
POST,/api/hr/recruitment/job-offers,modules/hr/recruitment/recruitment.controller.ts,177,createSimpleJobOffer,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.createJobOffer,true
GET,/api/hr/recruitment/statistics/weekly,modules/hr/recruitment/recruitment.controller.ts,188,getWeeklyStats,hr,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,recruitmentService.getWeeklyStatistics,false
GET,/api/hr/recruitment/health-check,modules/hr/recruitment/recruitment.controller.ts,206,runHealthCheck,hr,"RolesGuard",false,'admin','hr_manager',svc,recruitmentService.runHrHealthCheck,false
GET,/api/hr/safety/department-summary,modules/hr/safety/hr-safety.controller.ts,38,getDepartmentSummary,hr,"",false,,svc,svc.getDepartmentSummary,false
GET,/api/hr/safety/incidents/:id,modules/hr/safety/hr-safety.controller.ts,48,getIncident,hr,"",false,,svc,svc.getIncidentById,true
DELETE,/api/hr/safety/incidents/:id,modules/hr/safety/hr-safety.controller.ts,59,deleteIncident,hr,"",false,,svc,svc.updateIncident,true
PATCH,/api/hr/safety/incidents/:id,modules/hr/safety/hr-safety.controller.ts,68,updateIncident,hr,"",false,,svc,svc.updateIncident,true
GET,/api/hr/safety/hazard-zones/:id,modules/hr/safety/hr-safety.controller.ts,82,getHazardZone,hr,"",false,,svc,svc.getHazardZoneById,true
PATCH,/api/hr/safety/hazard-zones/:id,modules/hr/safety/hr-safety.controller.ts,92,updateHazardZone,hr,"",false,,svc,svc.updateHazardZone,true
POST,/api/hr/safety/export/pdf,modules/hr/safety/hr-safety.controller.ts,106,exportPdf,hr,"",false,,svc,svc.getAllIncidents,true
POST,/api/hr-v2/shifts,modules/hr/shift/shift.controller.ts,69,assign,hr,"JwtAuthGuard",false,'admin','manager','supervisor','hr_manager',svc,svc.findEmployeeByUserId,true
POST,/api/hr-v2/shifts/swap-request,modules/hr/shift/shift.controller.ts,100,requestSwap,hr,"JwtAuthGuard",false,,svc,svc.findShiftByEmployeeAndDate,true
PATCH,/api/hr-v2/shifts/:id/approve-swap,modules/hr/shift/shift.controller.ts,132,approveSwap,hr,"JwtAuthGuard",false,,svc,svc.rejectSwap,true
GET,/api/hr-v2/shifts/schedule,modules/hr/shift/shift.controller.ts,146,getSchedule,hr,"JwtAuthGuard",false,,svc,svc.getSchedule,true
GET,/api/hr-v2/shifts/swap-requests,modules/hr/shift/shift.controller.ts,157,getSwapRequests,hr,"JwtAuthGuard",false,,svc,svc.getSwapRequests,true
DELETE,/api/hr-v2/shifts/:id,modules/hr/shift/shift.controller.ts,164,deleteShift,hr,"JwtAuthGuard",false,,svc,svc.deleteShift,true
GET,/api/hr-v2/skills-matrix/catalog,modules/hr/skills-matrix/skills-matrix.controller.ts,38,catalog,hr,"JwtAuthGuard",false,,svc,svc.getSkillCatalog,true
GET,/api/hr-v2/skills-matrix/employee/:id,modules/hr/skills-matrix/skills-matrix.controller.ts,46,getEmployee,hr,"JwtAuthGuard",false,,svc,svc.getEmployeeSkills,true
POST,/api/hr-v2/skills-matrix/score,modules/hr/skills-matrix/skills-matrix.controller.ts,54,upsertScore,hr,"JwtAuthGuard",false,,svc,svc.upsertSkillScore,true
GET,/api/hr-v2/skills-matrix/gap-analysis/:employeeId,modules/hr/skills-matrix/skills-matrix.controller.ts,66,gapAnalysis,hr,"JwtAuthGuard",false,,svc,svc.getGapAnalysis,true
GET,/api/hr-v2/skills-matrix/team/:departmentId,modules/hr/skills-matrix/skills-matrix.controller.ts,77,teamMatrix,hr,"JwtAuthGuard",false,,svc,svc.getTeamMatrix,true
GET,/api/hr-v2/telegram-bots/status,modules/hr/telegram-bots/telegram-bots.controller.ts,41,getStatus,hr,"JwtAuthGuard",false,,svc,svc.getBotStatus,true
